PARCEL_PIN,SOURCE,ZONING_DISTRICT,FUTURE_LAND_USE,SUBDIVISION_NAME
0157326108018,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108019,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108020,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108021,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108030,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108031,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108032,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108034,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108035,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108036,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108037,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108038,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326108039,COT,POS,Single-Family Neighborhoods,THE GREENS AT HUNTERS GLEN
0157326114010,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114011,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114012,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114013,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114014,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114015,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114016,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114017,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114018,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114019,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114020,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114021,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114022,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114023,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114024,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114025,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114026,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114027,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HG FLG 4 AMD 1
0157326114042,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HUNT GLEN FLG 6
0157326114043,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HUNT GLEN FLG 6
0157326114050,COT,POS,Single-Family Neighborhoods,THE VILLAGE AT HUNT GLEN FLG 6
0157326122051,COT,SFA,"Parks, Trails, and Open Space",SETTLEMENT AT HUNTERS GLEN
0157326122052,COT,SFA,"Parks, Trails, and Open Space",SETTLEMENT AT HUNTERS GLEN
0157326205009,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN III
0157326205010,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN III
0157326205011,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN III
0157326205012,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN III
0157326205016,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN III
0157326207023,COT,POS,Single-Family Neighborhoods,THE FAIRWAYS AT HUNTERS GLEN
0157326207027,COT,POS,Single-Family Neighborhoods,THE FAIRWAYS AT HUNTERS GLEN
0157326207028,COT,POS,Single-Family Neighborhoods,THE FAIRWAYS AT HUNTERS GLEN
0157326215010,COT,POS,Single-Family Neighborhoods,HILLCREST AT HUNTERS GLEN SUB
0157326311001,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN LAKESHORE SUB F1
0157326311008,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN LAKESHORE SUB F1
0157326311009,COT,POS,Single-Family Neighborhoods,HUNTERS GLEN LAKESHORE SUB F1
0157326404001,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404002,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404003,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404008,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404008,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404009,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404011,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404012,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326404013,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409001,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409002,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409003,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409004,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409005,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409006,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409007,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409010,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409011,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326409020,COT,POS,Single-Family Neighborhoods,THE LAKES NORTH
0157326412004,COT,POS,Transit-Oriented Development,
0157327001003,COT,BP,"Parks, Trails, and Open Space",THORNCREEK GOLF COURSE
0157327001003,COT,BP,"Parks, Trails, and Open Space",THORNCREEK GOLF COURSE
0157327002001,COT,MF,"Parks, Trails, and Open Space",ROLLING HILLS FILING 2
0157327002002,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002003,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002004,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002005,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002006,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002007,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002008,COT,MF,"Parks, Trails, and Open Space",ROLLING HILLS FILING 2
0157327002009,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002010,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002011,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002012,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002013,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002014,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002015,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002016,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002017,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002018,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002019,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002020,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002021,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002022,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002023,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002024,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002025,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002026,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002027,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002028,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002029,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002030,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002031,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002032,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002033,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002034,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002035,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002036,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002037,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002038,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002039,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002040,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002041,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002042,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002043,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327002044,COT,MF,"Parks, Trails, and Open Space",ROLLING HILLS FILING 2
0157327002049,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003001,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003002,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003003,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003004,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003005,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003006,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003007,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003008,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003009,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003010,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003011,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003012,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003013,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003014,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003015,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003016,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003017,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003018,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003019,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003023,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003024,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003025,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003026,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003027,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003028,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003029,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003030,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003031,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003032,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003033,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003034,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003035,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003036,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003037,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327003038,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004001,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004002,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004003,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004004,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004005,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004006,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004007,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004008,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004009,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004010,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004011,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004012,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004013,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004014,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004015,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004016,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004017,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004018,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004019,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004020,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004021,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004022,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004023,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004024,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004025,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327004026,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005001,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005002,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005003,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005004,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005005,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005006,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005007,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005008,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005009,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005010,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005011,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005012,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005013,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005014,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005015,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005016,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005017,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005018,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005019,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005020,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005021,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005022,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005023,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327005024,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006001,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006002,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006003,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006004,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006005,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006006,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006007,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006008,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006009,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006010,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006011,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006012,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006013,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006014,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006015,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006016,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006017,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006018,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006019,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006020,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006021,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006022,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006023,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006024,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006025,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006026,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327006027,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327007008,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327007009,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327007010,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327007011,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327008007,COT,SFA,"Parks, Trails, and Open Space",ROLLING HILLS FILING 2
0157327008038,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327008050,COT,SFA,"Parks, Trails, and Open Space",ROLLING HILLS FILING 2
0157327009001,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009002,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009003,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009004,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009005,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009006,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009032,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009033,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327009034,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327010007,COT,MF,Single-Family Neighborhoods,ROLLING HILLS FILING 2
0157327011020,COT,SFA,"Parks, Trails, and Open Space",ROLLING HILLS FILING 2
0157327101013,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101015,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101017,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101018,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101019,COT,POS,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101020,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101020,COT,POS,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101021,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101021,COT,POS,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101022,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101023,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 3
0157327101024,COT,BP,Regional Mixed-Use,ROLLING HILLS SUBD AMD AMD 4
0157327401003,COT,BP,Mixed-Use Neighborhoods,ROLLING HILLS FILING 5
0157327401004,COT,BP,Mixed-Use Neighborhoods,ROLLING HILLS FILING 5
0157327401107,COT,BP,Mixed-Use Neighborhoods,ROLLING HILLS FILING 5
0157327405004,COT,CR,Mixed Residential Neighborhoods,ROLLING HILLS F3 A2
0157327405004,COT,POS,Mixed Residential Neighborhoods,ROLLING HILLS F3 A2
0157327405005,COT,POS,Mixed Residential Neighborhoods,ROLLING HILLS F3 A2
0157327405005,COT,POS,Mixed Residential Neighborhoods,THORNCREEK GOLF COURSE
0157334002010,COT,I,Employment Center,WASHINGTON SQUARE
0157334002016,COT,I,Employment Center,WASHINGTON SQUARE
0157334002017,COT,I,Employment Center,WASHINGTON SQUARE
0157334002021,COT,I,Regional Mixed-Use,WASHINGTON SQ FLG 6 BLK2 LOT1
0157334002027,COT,I,Employment Center,WASHINGTON SQUARE FLG 14 LOT 1
0157334004019,COT,RC,Employment Center,
0157334004019,COT,RC,Employment Center,WASHINGTON SQUARE
0157334004028,COT,BP,Regional Mixed-Use,WASHINGTON SQUARE FILING 9
0157334010005,COT,I,Employment Center,WASHINGTON SQUARE
0157334010007,COT,I,Employment Center,WASHINGTON SQUARE AMD LOT1BLK4
0157334300060,COT,BP,Regional Mixed-Use,
0157334300061,COT,RC,Employment Center,
0157334300061,COT,RC,Employment Center,WASHINGTON SQUARE
0157334401004,COT,I,Employment Center,WASHINGTON SQUARE AMD LOT7BLK4
0157334401005,COT,I,Employment Center,WASHINGTON SQUARE FILING 19
0157334401024,COT,I,Employment Center,WASHINGTON SQUARE FILING 20
0157334402001,COT,I,Regional Mixed-Use,WASHINGTON SQ FLG 7 A 1 LOT 3A
0157334402006,COT,I,Employment Center,QWEST THORNTON CENTRAL OFC A1
0157334402007,COT,I,Employment Center,QWEST THORNTON CENTRAL OFC A1
0157334402008,COT,I,Employment Center,12130 PENNSYLVANIA ST OFFCONDO
0157334402009,COT,I,Employment Center,12130 PENNSYLVANIA ST OFFCONDO
0157334402010,COT,I,Employment Center,12130 PENNSYLVANIA ST OFFCONDO
0157334404001,COT,BP,Regional Mixed-Use,WASHINGTON SQUARE FILING 12
0157334404002,COT,BP,Regional Mixed-Use,WASHINGTON SQUARE FILING 12
0157334404003,COT,BP,Regional Mixed-Use,WASHINGTON SQUARE FILING 12
0157334406002,COT,RC,Employment Center,WASHINGTON SQUARE FILING 8
0157335000009,COT,BP,Transit-Oriented Development,
0157335000009,COT,BP,Transit-Oriented Development,
0157335000009,COT,BP,Transit-Oriented Development,
0157335000009,COT,BP,Transit-Oriented Development,HUFFY BUSINESS PARK
0157335000009,COT,BP,Transit-Oriented Development,HUFFY BUSINESS PARK
0157335000009,COT,BP,Transit-Oriented Development,THORNTON MUNI SERVICE CTR F2A3
0157335000009,COT,BP,Transit-Oriented Development,WASHINGTON CENTER F1A9 AVILLA
0157335000009,COT,ETD,Transit-Oriented Development,
0157335000009,COT,ETD,Transit-Oriented Development,
0157335000009,COT,ETD,Transit-Oriented Development,HUFFY BUSINESS PARK
0157335000009,COT,MF,Transit-Oriented Development,
0157335000009,COT,MF,Transit-Oriented Development,
0157335000009,COT,MF,Transit-Oriented Development,WASHINGTON CENTER F1A9 AVILLA
0157335004003,COT,BP,Institutional,
0157335100001,COT,A,Transit-Oriented Development,
0157335100001,COT,ETD,Transit-Oriented Development,
0157335100001,COT,ETD,Transit-Oriented Development,EASTLAKE ESTATES SUBDIVISION
0157335101010,COT,ETD,Single-Family Neighborhoods,EASTLAKE ESTATES SUBDIVISION
0157335101063,COT,ETD,"Parks, Trails, and Open Space",
0157335101063,COT,ETD,"Parks, Trails, and Open Space",EASTLAKE ESTATES SUBDIVISION
0157335101063,COT,SFD,"Parks, Trails, and Open Space",
0157335101063,COT,SFD,"Parks, Trails, and Open Space",EASTLAKE ESTATES SUBDIVISION
0157335101065,COT,ETD,"Parks, Trails, and Open Space",EASTLAKE ESTATES SUBDIVISION
0157335101065,COT,SFD,"Parks, Trails, and Open Space",EASTLAKE ESTATES SUBDIVISION
0157335101065,COT,SFD,"Parks, Trails, and Open Space",EASTLAKE SUBDIVISON RESUB
0157335104008,COT,BP,Transit-Oriented Development,
0157335104008,COT,BP,Transit-Oriented Development,HUFFY BUSINESS PARK
0157335104011,COT,ETD,"Parks, Trails, and Open Space",EASTLAKE GRAIN ELEVATOR
0157335104012,COT,BP,"Parks, Trails, and Open Space",EASTLAKE GRAIN ELEVATOR
0157335104012,COT,ETD,"Parks, Trails, and Open Space",EASTLAKE GRAIN ELEVATOR
0157335113002,COT,SFD,"Parks, Trails, and Open Space",EASTLAKE SHORES SUBDIVISION
0157335113003,COT,SFD,"Parks, Trails, and Open Space",EASTLAKE SHORES SUBDIVISION
0157335114001,COT,SFD,"Parks, Trails, and Open Space",EASTLAKE SHORES SUBDIVISION
0157335115001,COT,ETD,Transit-Oriented Development,
0157335201001,COT,BP,Institutional,THORNTON MUNICIPAL SERVICE CTR
0157335201001,COT,BP,Institutional,THORNTON MUNICIPAL SERVICE CTR
0157335201011,COT,BP,Institutional,THORNTON MUNI SERVICE CTR F2
0157335201012,COT,BP,Institutional,THORNTON MUNI SERVICE CTR F2A3
0157335201013,COT,BP,Institutional,THORNTON MUNI SERVICE CTR F2A3
0157335201013,COT,BP,Institutional,THORNTON MUNI SERVICE CTR F2A3
0157335203014,COT,BP,Transit-Oriented Development,HUNTER DOUGLAS BUS PARK A3
0157335301005,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301008,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301009,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301010,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301011,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301012,COT,CR,Regional Mixed-Use,
0157335301012,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301013,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A1
0157335301014,COT,CR,Regional Mixed-Use,COMMUNITY PLAZA SUB F1A1
0157335301015,COT,CR,Regional Mixed-Use,WASHINGTON CENTER SUBD F1 A2
0157335301017,COT,CR,Regional Mixed-Use,WASHINGTON CENTER F1 A4
0157335301018,COT,CR,Regional Mixed-Use,WASHINGTON CENTER F1 A4
0157335303001,COT,ETD,Mixed Residential Neighborhoods,WASHINGTON CENTER F1
0157335303004,COT,MF,Commercial,WASHINGTON CENTER F1 A4
0157335401003,COT,A,Transit-Oriented Development,EASTLAKE VILLAGE FLG NO 1
